title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,-🆀ⓦ🅔℟✟🅨-,Another LUFFY (one piece) has been created! :),2016-01-01,48493,1669,137,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Catherine Chong,Enjoy 👍,2014-07-17,23008,261,17,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Andy Adelangga,There is ni invitation to fighter's in Indonesia,2015-06-03,6851,179,46,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,This user has been deleted.,This comment has been deleted.,,0,0,24,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Lauren Meadows,"ALL PEOPLE WHO ARE READING THIS LATE OR RE-READING THIS, YOU HAVE BEEN WARNED.This Webtoon is going to blow your mind. literally. I don't have a brain anymore. OK JK JK BUT SERIOUSLY Keep on reading. If you don't like action and awesomeness, you suck and stop reading, you wont like it. EVERYONE ELSE, CONTINUE READING THE COMIC OF AWESOMENESS. Thank you and goodbye. *Drops Mic, does a backflip off the stage.*",2016-10-10,1634,69,29,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Fiery Dreamer,"Ah, the good old days when this was just a fighting tournament.",2016-08-26,828,6,11,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,{}𝚖𝚊𝚌𝚊𝚛𝚘𝚘𝚗{},"""No matter how big they are, I can knock them down with one punch!"" The frick are you, Saitama?",2017-09-07,730,1,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,BGSans,I can't be the only one smiling like an idiot while reading this,2016-07-28,439,1,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Jay Jones,The voice I gave the MC in my head is cancer I blame the dialogue,2016-03-07,302,5,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,snowgiz,if Luffy and Natsu combined...,2017-03-26,260,2,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Aiden Enzign,Anyone else re-reading because they have to wait another week :/,2016-07-30,247,3,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Borrito,why did he remind me of natsu,2015-12-24,208,3,9,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,OmegaZeroNexus,Why does this guy remind me of Rin Okumura from blue exorcist but has luffy's (one piece) personality ,2016-08-06,188,2,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,Geoff16,Wow. Things were really simple back here in the beginning…,2018-06-15,159,0,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,1,64101,5739,592543,145092,30444815,2014-06-30,LightArk⚡,I'm rereading this and I can't help but foresee all the strings and the pieces falling into place. Damn. Just damn. ,2017-05-19,134,1,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Santiago Pinilla Alvarez,I dig this guy's motivations to fight more than the one before,2014-10-07,48024,273,26,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Natnat,My assistant's name is Made In Korea?,2016-06-09,39133,143,37,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,FloatingLion,"I lost it at ""Rub-a-dub"". XD",2015-06-21,25169,127,25,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Matthew Winner,I have a hard time believing that plane makes a rub a dub sound,2016-07-01,726,2,7,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Arthenwel,Why does no one like the motivation of the first guy?. he wants to be the best and wants to get stronger. he has no ill intent and doesn't fight people who piss him off. you have no idea why he wants to get stronger,2016-05-13,568,5,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,AliceHealer,Rub-a-dub is my favorite sound effect though.,2016-04-24,235,1,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Mehmet Şahin,Only ramyeon!!! İf rai was there...😱😱,2016-10-29,187,1,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,AliceHealer,So far we've been introduced to yugi motto (the best at what he does) and joey wheeler (fighting for someone seriously sick),2016-04-24,153,0,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Jane,"Well,at least he's fighting for his friend. I like this guy ^^",2016-03-07,117,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,KIMSANG,You guys didn't realize? The store that Daewi was working was destroyed. Who is responsible for that crashed store?!,2015-05-11,102,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Namsuo,"everyone looks the freaking same, I hope the art and distinctions get better",2016-04-08,109,9,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,TheBlackPot,This is kind of really hard to follow ,2019-05-05,70,0,7,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Staciana Moore,this would make an awesome anime,2016-01-03,62,0,6,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,Leichen,rereading the whole thing makes me sad,2016-07-22,54,0,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,2,55328,1151,592543,110965,30444815,2014-06-30,gregggy,wow they definitely don't tell you this much info in the first ep of the anime ,2020-07-07,48,2,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Last Autumn,Oh My GODDDDD!! She was one heck of a woman!! It's been ages since i saw such a tough girl...loved it!,2015-11-29,44480,430,45,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,dipinmilk,How can they guarantee life in a tournament with her in it???,2015-11-13,36806,169,31,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,archaninehellf1,I understand what she means. But damn that was cold ,2015-12-11,28822,142,11,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Candle_man,"""I'm the first female character. How could you draw me like that?!!!""lol shes the best",2016-07-02,1354,4,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Pained Expression,"""Rub-a-dub"", ""schoompy""... These sound effects are something else.",2016-11-03,794,0,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Kyandii.o3o,When your gf is way more manly then you are 😂,2017-01-06,786,9,11,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Devan Finn Crooks,We going to ignore that fact that she broke their necks? Yeah? OK. ,2016-12-23,732,0,6,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Rauz,haha even the escort is scarred of her,2015-12-11,588,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,humanelycallous,DID SHE JUST KILL THOSE GUYS?! god have mercy on the people who fight her in G.O.H.,2016-07-30,490,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,SangLuna,"I freakin lost it when gramps told her to find ""good seed"" lmao",2016-10-14,429,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,MrSnowmanJoe,Did she just kill all of those dudes? ,2016-10-16,295,0,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Shaenaee Diane Thompson,its nice to see a female character defending herself instead of the cliche of a female in distress,2017-06-01,180,2,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,nikki_hoshima,"she almost tricked me =_=""",2015-02-21,157,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,domainisdopeman.com,I just realized that that sleepy eyes mad cow was a different guy omg ,2017-03-24,142,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,3,43272,1939,592543,103180,30444815,2014-06-30,Malik Collins,Omg she turned into a man (OoO)!!! Strong independent Korean Woman,2016-03-11,134,6,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,lameka,It has action in but its also funny and silly at the same time,2015-04-12,46647,99,14,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Lewis Nguyen,I had no idea there were more than 4 walls. This comic breaks them down too quickly.,2016-08-28,37209,111,20,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Angelinee17,The devil face sign at the end~one of the seven wonders of Korea~,2016-09-05,6640,9,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,This user has been deleted.,This comment has been deleted.,,0,0,17,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Janiedy,"They're good people. I mean, yes, they made a damage of 56,220,000 done in the city... but at least they got the 100,000  that old lady needed for the castration of her dog 😌 ",2016-09-20,783,0,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,MissEncode,Whoa... JENNIFER LOPEZ!,2016-06-25,520,0,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Destiny White,"""Oi, come here"" 😂 Oh God, whenever I see that face the voice get so deep in my mind lol ",2016-02-12,350,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,lolipopmn69,LA CUCARACHA!!! I'm dying!,2016-01-24,328,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Linn Nelowyn,"Rofl! This is too funny! 😂 ""You bad snatcher who just appeared for the story!""",2015-08-20,249,1,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,GoldenSoooul,Has no one realised she was gonna castrate her dog,2016-09-02,198,2,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Ddawg,I expect more 4th wall breaks in the future ,2016-05-22,145,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,GaChik,I love the newspaper! Too funny!! You saved the dog. You're a Hero!! An expensive one though. Meanwhile... Theres a new metal head in town being worshipped!! ,2017-03-10,130,1,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Halvarian,"This Series has like 8 walls. The four it breaks in the manga, and the four it breaks in your room.",2016-12-02,112,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,Barta Kornel Zoltán,It fits the comic perfectly that it doesn't take itself seriously. Makes you want to cringe every time they break the 4th wall.,2016-06-27,83,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,4,49687,1761,592543,100312,30444815,2014-06-30,has been deleted,"i finally understand why ""God"" of highschool.",2016-07-09,61,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Eazy,Who read the president 's part in Obama's voice😂,2015-04-14,55369,199,84,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,David Diaz,i swear one of those fighters they were naming is adam sandler,2015-08-02,28948,111,30,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,audrey,Oba Mashariff.,2015-04-19,8894,35,14,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,This user has been deleted.,This comment has been deleted.,,0,0,48,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Lyonov,the story is great. it portrayed an American getting Asians wrong once again. ,2016-06-10,1022,5,15,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Samantha Young,"""I'm gonna beat you. Why? 'Cause I feel bad."" Quote of the year, lol 😂😂😂😂😂😂😂",2016-06-11,550,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,DraPorkChop,The white hair dude seems powerful but he is afraid of the girl 😊,2016-05-10,510,0,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,( ͡° ͜ ʖ ͡°)=ε✄╰U╯,"While everyone's talking about Obama,I'm over here wondering about them bracelets and that injection ^_^",2016-04-21,377,0,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Vexed,I know I'm not the only one who saw Obama and Adam Sandler,2016-05-25,282,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Erza scarlet,"hold on! does no one wonder why that guy broke into the Pentagon to speak to the President? maybe, just maybe the President is being invited to FIGHT!!! wouldn't that be dope 😂",2016-12-06,249,1,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,suga's.swag,who else thought the person attacking Obama was trump 😂,2017-03-28,168,3,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Jay Jay,Uh...are you japanese...or...chinese?... XD ROFL,2015-04-26,165,2,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,dipinmilk,"Making the pres look unaware of Korea, now that's just silly! It's a common American error, though, so I can see the humor.",2015-11-13,125,3,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,Tishieshirt,I feel so dumb I literally asked myself what Obama’s last name is when I read this 😔,2020-06-11,85,0,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,5,36160,1637,592543,93497,30444815,2014-06-30,boiwitcho🌛,"Back when Obama was our president :,(",2019-02-01,86,1,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,xXLiquidxFireXx,Wait wait wait Level 6? There MUST be some power level hiding stuff going on. I don't believe he's that low. Then again they did say power levels where a distraction so maybe it worked?,2014-11-30,64567,126,71,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Samariea Matthews,hmmmmm maybe they forgot the 0 ,2017-01-06,47365,110,67,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Nathaniel Terr.xly,"If anyone has watched Dragonball Z Abridged, in the famous words of Vegeta: "" Power levels are bullshi*""",2016-11-13,41015,99,85,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,IKE ǨȔГȮɣȔǨȉ,6? naaw my niggá it's level 666 ,2016-09-09,1091,23,7,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,RyuHand,"If y'all remember, he was asleep when the power levels were being read (all the monitors were beeping). I bet he's a power 6 in his sleep. XD",2017-03-24,897,1,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Sadistic_Walnut,THIS GUY RESEMBLES LUFFY FROM ONE PIECE SO MUCH WHY 😂😂,2016-09-16,539,4,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Anthony R.,I remember reading this and thinking they were already overpowered here.My god I was wrong,2017-05-01,396,1,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Sofia3,"They always do that. They make the main character look weak then, *BOOM* they become extremely strong. I hope that's he case with Jin. ",2017-05-05,279,0,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,nkechi_97,Mori jumps from cute to hot so fast,2015-06-12,232,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Christian Bern Libo-on,that's not Level 6. it's Level G - GOD,2018-03-12,175,0,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,i dropped my chicken,u swear that guy was using a baseball bat and hitting people on the head!,2016-07-03,99,0,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,.: Katia :.,"I wasn't sure of reading this, but now... I'm addicted!! It's a good thing that I have so many episodes to read!!!!!!!",2015-04-12,96,1,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Eli king,"I just started this series and I already know Mori AIN'T NO LVL 6 more like 6,000",2018-08-20,81,1,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,anniethebelle,His eyes are filled with determination.....✨✨,2016-06-10,78,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,6,45670,1477,592543,92652,30444815,2014-06-30,Sufy470,So my guy broke an instructors arm is power level six? Who sealed a tailed beast inside him,2020-04-28,58,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Crisapex,Thanks a lot Obama...,2015-07-05,43408,637,39,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Sofiya 0720,Even the staff afraid of mira 😂😂,2016-05-21,32554,96,23,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,nkechi_97,"How come the levels are only wonky when it comes to Mori XD Main Character logic man, main character logic :D",2015-06-12,29492,196,36,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Nerdy Alien,"Am I the only one who died laughing at the whole""What's inside is even more important wanna see?"" And then the mcs  just like Oh helllll nah And noped the F*** out of the situation 😂",2016-08-31,1255,3,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,tony172,"""what's inside is more important wanna see?""""nope"" *pulls up pants ""you don't?"" (sounds disappointed )",2016-06-17,862,3,1,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,DSandstorm,"Came for the fighting, stayed for Obama",2016-01-05,619,3,9,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,nikki_hoshima,I like Mori's easygoing and airhead character ^^,2015-02-21,405,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Tiffany Harris,"Oh, hi there Oba Ma.....shariff. Glad you found your way back to us.",2015-04-30,221,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Neo Aorora,I cracked up!!😆😆Mira is the best female character in this webtoon,2016-06-11,215,3,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Vergil765,is it just me or did I see the Nazi symbol Edit: I looked into it and the sign is usually used for peace but is confused for the Nazi symbol because of WW2,2017-08-11,202,4,6,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,emonaruto,Hehe I liked the part when mira gets her sword back by almost breaking mori's neck 😛 ,2016-07-14,128,2,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Arthenwel,if you think about it. the levels aren't wonky. Mori has only had 2 challenging fights at most. out of nearly 300. his growth stopped because there was no longer a need to improve. his strength was enough to win with one punch. now he has people stronger than him. that prisoner always has strong people to fight and they are always challenging him always trying to kill him.,2016-05-13,115,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Doge Hunter,Obama is now part of God of high school and it's even more weird now,2017-03-28,89,0,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,Eric parks,they better animate Obama or else I use my civil rights beam. EDIT: MISSION FAILED RIOT TIME,2020-07-06,84,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,7,40569,1263,592543,90692,30444815,2014-06-30,this_aint_me,it's what's inside that's more important XD that was the best way to brush of the prank,2015-11-14,69,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Xenaca_Payne,Awe how nice of the biker gang to volunteer to help.,2015-03-26,60020,96,61,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Caтнerιne♡,"i’m dying ""I happened to meet them"" when you read between the lines it’s ""you raided our place."" 😂😂",2016-01-08,43055,233,21,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,kakigoori,If it was a wooden sword shouldnt it be floating instead of sinking?,2015-12-28,36665,392,125,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Nathanael North,steps towards finding GOOD SEED..................,2016-04-03,744,1,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,has been deleted,Don't you love how He just met them on way?,2016-07-09,607,0,3,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Not Wombat,"Wooden swords like the one Mira used would NOT float. Yes, theyre made of wood but most are made from heavier wood that sinks. Plus, Its polished so it gives the water less friction for adhesion to occur which means no, the sword wouldnt float.",2017-10-13,530,1,8,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Last Autumn,"I like strong girl! tsundere types r not my fav but i hate all the corny, *** weak girls!! If she was bit more straight forward, i wud have liked her more :\",2015-11-29,218,13,7,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Jessicaaa,Yeah he totally met the biker gang accidentally😂😂,2016-04-16,179,2,0,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,LustIan,Anyone else notice in episode 4 that very wood sword broke concret,2017-02-28,164,0,2,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Meow156ninja,Why do I feel like I am watch a Naruto one piece HunterxHunter in one thing,2016-06-23,131,1,5,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,Evnnn,I wonder what Obama’s power level is,2020-07-03,106,1,4,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,GummyReading,rak best character.Wait wrong comic...,2020-05-02,92,0,7,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,queen_vava,"Everyone is saying she’s a tsundere and it’s cute but I’m just annoyed tbh. I don’t know, maybe it’s just me getting tired of the repetitive character tropes.",2018-06-08,89,0,10,2023-01-06
The God of High School,Yongje Park,action,completed,completed,771800000,2800000,9.7,8,38159,1085,592543,90511,30444815,2014-06-30,D👀'&NG€L0  ♠,does not mori remind you of luffy d monkey?  :D   of one piece!,2016-07-03,60,1,3,2023-01-06
